"activation","hdim","zdim","cdim","vdim","pc","scalar","type","seed","rep","roc"
1,0,0,0,0,1,1,1,3,2,0.6277139208173691
1,0,0,0,0,1,1,1,3,1,0.6362281822051936
1,0,0,0,0,1,1,1,3,3,0.6317581949765858
1,0,0,0,0,1,1,-1,3,2,0.644955300127714
1,0,0,0,0,1,1,-1,3,1,0.6504895700297999
1,0,0,0,0,1,1,-1,3,3,0.6451681566624095
1,0,0,0,0,1,-1,-1,2,4,0.8054491272882077
1,0,0,0,0,1,-1,1,2,4,0.8154533844189015
1,0,0,0,0,1,-1,1,3,1,0.811621966794381
1,0,0,0,0,1,-1,-1,1,1,0.7809706257982122
1,0,0,0,0,1,-1,1,1,3,0.810983397190294
1,0,0,0,0,1,-1,1,1,1,0.7933163048105577
1,0,0,0,0,1,-1,-1,3,3,0.7958705832269056
1,0,0,0,0,1,-1,-1,3,4,0.7894848871860373
1,0,0,0,0,1,-1,1,3,2,0.8194976585781188
1,0,0,0,0,1,-1,1,3,3,0.8090676883780339
1,0,0,0,0,1,-1,-1,2,1,0.8369518944231589
1,0,0,0,0,1,-1,-1,1,3,0.8063005534269905
1,0,0,0,0,1,-1,-1,4,1,0.7747977862920394
1,0,0,0,0,1,-1,-1,3,2,0.806726266496382
1,0,0,0,0,1,-1,1,4,2,0.8003405704555133
1,0,0,0,0,1,-1,-1,4,2,0.7926777352064711
1,0,0,0,0,1,-1,1,3,4,0.7984248616432531
1,0,0,0,0,1,-1,1,4,1,0.7871434653043851
1,0,0,0,0,1,-1,1,2,1,0.843976160068114
1,0,0,0,0,1,-1,-1,4,3,0.8825031928480206
1,0,0,0,0,1,-1,1,4,3,0.8861217539378459
1,0,0,0,0,1,-1,-1,2,2,0.8982545764154958
1,0,0,0,0,1,-1,1,4,4,0.9082588335461902
1,0,0,0,0,1,-1,-1,4,4,0.9022988505747124
1,0,0,0,0,1,-1,-1,3,1,0.8039591315453392
1,0,0,0,0,1,-1,1,2,2,0.9065559812686249
1,0,0,0,0,1,-1,-1,2,3,0.9257130693912301
1,0,0,0,0,1,-1,1,2,3,0.9303959131545337
1,0,0,0,0,1,-1,1,1,2,0.9176245210727968
1,0,0,0,0,1,-1,-1,1,4,0.8901660280970627
1,0,0,0,0,1,-1,1,1,4,0.8976160068114093
1,0,0,0,0,1,-1,-1,1,2,0.9214559386973177
-1,0,0,0,0,-1,1,1,2,2,0.5315027671349511
-1,0,0,0,0,-1,1,-1,2,2,0.5442741592166881
-1,0,0,0,0,-1,1,1,2,1,0.5557684120902513
-1,0,0,0,0,-1,1,1,2,3,0.5555555555555557
-1,0,0,0,0,-1,1,1,2,4,0.55874840357599
-1,0,0,0,0,-1,1,-1,2,3,0.5634312473392935
-1,0,0,0,0,-1,1,-1,2,1,0.5685398041719882
-1,0,0,0,0,-1,1,-1,2,4,0.5832269050659857
-1,0,0,0,0,-1,1,1,4,4,0.5862068965517242
-1,0,0,0,0,-1,1,1,4,1,0.5936568752660708
-1,0,0,0,0,-1,1,1,4,2,0.5953597275436356
-1,0,0,0,0,-1,1,1,4,3,0.599616858237548
-1,0,0,0,0,-1,1,1,1,3,0.6011068539804173
-1,0,0,0,0,-1,1,-1,4,4,0.6028097062579822
-1,0,0,0,0,-1,1,-1,4,1,0.612813963388676
-1,0,0,0,0,-1,1,1,1,2,0.617922520221371
-1,0,0,0,0,-1,1,-1,4,3,0.6185610898254577
-1,0,0,0,0,-1,1,-1,4,2,0.6168582375478927
-1,0,0,0,0,-1,1,1,1,4,0.6251596424010218
-1,0,0,0,0,-1,1,-1,1,3,0.6285653469561514
-1,0,0,0,0,-1,1,1,3,4,0.6223925074499788
-1,0,0,0,0,-1,1,1,1,1,0.6360153256704981
-1,0,0,0,0,-1,1,1,3,2,0.6347381864623244
-1,0,0,0,0,-1,1,-1,3,4,0.6379310344827587
-1,0,0,0,0,-1,1,-1,1,2,0.6479352916134526
-1,0,0,0,0,-1,1,-1,1,4,0.6545338441890168
-1,0,0,0,0,-1,1,1,3,3,0.656449553001277
-1,0,0,0,0,-1,1,-1,1,1,0.6713495104299703
-1,0,0,0,0,-1,1,1,3,1,0.6715623669646659
-1,0,0,0,0,-1,1,-1,3,2,0.663686675180928
-1,0,0,0,0,-1,1,-1,3,3,0.6847594721157939
-1,0,0,0,0,-1,1,-1,3,1,0.6964665815240528
-1,0,0,0,0,-1,-1,-1,2,2,0.7249893571732651
-1,0,0,0,0,-1,-1,1,2,2,0.7320136228182202
-1,0,0,0,0,-1,-1,-1,2,1,0.7307364836100468
-1,0,0,0,0,-1,-1,-1,1,1,0.7260536398467432
-1,0,0,0,0,-1,-1,1,2,1,0.7420178799489144
-1,0,0,0,0,-1,-1,-1,1,4,0.7311621966794379
-1,0,0,0,0,-1,-1,-1,3,1,0.7198808003405708
-1,0,0,0,0,-1,-1,1,1,1,0.7307364836100467
-1,0,0,0,0,-1,-1,1,1,4,0.737760749255002
-1,0,0,0,0,-1,-1,-1,2,3,0.7515964240102171
-1,0,0,0,0,-1,-1,-1,3,3,0.7200936568752664
-1,0,0,0,0,-1,-1,-1,1,2,0.748829289059174
-1,0,0,0,0,-1,-1,-1,2,4,0.7609621115368239
-1,0,0,0,0,-1,-1,-1,3,2,0.7226479352916139
-1,0,0,0,0,-1,-1,1,3,1,0.7290336313324821
